"","X","FC","pval","adj_pval"
"81","ITM2B",-1.73126784948864,0.24578596421156,0.523539572803249
"82","A0A3Q2HQF0",-0.521446011432595,0.220969655919993,0.500696290466416
"83","HSPB1",-1.25772793313379,0.0883437356977611,0.347018354898575
"84","GDI2",-0.799452437494363,0.201617685428602,0.488332109365599
"85","COL15A1",-0.9637394315751,0.42437550876976,0.691756609670938
"86","CS",0.348451114795832,0.600818057194167,0.789886676590932
"87","COL5A1",-0.100803592058796,0.861445434442758,0.925438523858506
"88","CLEC11A",0.389967876410399,0.416084691840212,0.685964645433606
"89","ACTB",-0.979486368288651,0.242124568978896,0.523211712276235
"90","PPIA",-1.14382872396891,0.169618219978983,0.442892018834012
"91","APOA4",-0.621705839845223,0.370773535288556,0.659672788336736
"92","A0A3Q2HA27",-1.11530818395305,0.18037526694639,0.464528084738649
"93","A0A3Q2GXT1",-1.18545933717417,0.208420103707288,0.488332109365599
"94","LCP1",-0.455021201309631,0.381302819398441,0.664265234481736
"95","P4HA2",-2.37094446220094,0.0678833311586179,0.303141032665792
"96","CA1",-2.64199923084703,0.0190235617604291,0.155496939606986
"97","PDIA3",1.49355359037619,0.00758979716327748,0.089594185168453
"98","P3H4",-0.417865286606851,0.682621258456402,0.826854870754685
"99","A0A5F5PFU5",0.823895262658727,0.0627322392532344,0.287650267795318
"100","VIT",0.130081513112362,0.783861468552134,0.882430874777253
"101","KHSRP",0.400990255547448,0.674052540494229,0.823660940830437
"102","CHAD",0.39581557525457,0.64381880671875,0.812335138678691
"103","THBS3",0.884108739929575,0.606890693310747,0.795289394601796
"104","TLN1",-4.6034869436973,0.0131754168602347,0.125948052697837
"105","ILF3",-1.53040757296757,0.0725467587420421,0.314741322542398
"106","A0A3Q2HB15",-0.703237656268534,0.209532571749069,0.488332109365599
"107","A0A5F5PTG2",2.63313417710604,0.00020932354867668,0.0225386343978233
"108","SEC23A",2.17500792894355,0.00113972110741963,0.035711261365815
"109","F7DCS5",-1.63595725873048,0.0870906627549106,0.347018354898575
"110","GPI",-1.52955496746174,0.0293329921743005,0.194633030427123
"111","BPIFA2",-0.544795088308842,0.513271700159736,0.751909711402834
"112","SNRPG",-2.12021234352364,0.0931546721125376,0.347018354898575
"113","ANXA11",-0.339885872223796,0.454416711509472,0.711724867309508
"114","RPS5",-1.45692109873021,0.0906743120716597,0.347018354898575
"115","PLBD1",-2.14955400412454,0.0167641601908844,0.14546132842552
"116","AEBP1",-0.0586844760848955,0.912272698751837,0.947553963344449
"117","A0A5F5PR55",-3.36874820482222,0.0222687030608094,0.176895049666148
"118","SOD2",-1.77574743555025,0.0928609137516071,0.347018354898575
"119","NTS",-0.539689484565994,0.635935411530945,0.811460731612555
"120","PKM",-0.609610259800558,0.205094795679407,0.488332109365599
"121","EEF1G",-2.4428864657142,0.089786684205255,0.347018354898575
"122","BPI",-2.28178828193078,0.0135849016982605,0.127698075963648
"123","RPS3",-1.15164604101331,0.120127975599225,0.387846347347066
"124","CCT5",0.652752845944212,0.617416479507218,0.796848728700391
"125","A0A5F5PPB8",-2.26288268847849,0.0682604807598504,0.303141032665792
"126","APOA2",-1.09277436159138,0.284352142794559,0.566694729809652
"127","H3-3A",-1.08724839545025,0.20905765439787,0.488332109365599
"128","TPP1",0.308385091938725,0.838280643329273,0.912032117815773
"129","A0A3Q2H4N7",0.223149796355436,0.713092028060242,0.850283094769506
"130","A0A3Q2IEF5",-1.62034460849618,0.280190646894745,0.56038129378949
"131","GAPDH",-0.32330539678944,0.4937700970722,0.746670174964596
"132","ARHGDIB",-2.0657274077496,0.0645919956552925,0.293789399593427
"133","PRTN3",-0.856650020469743,0.344765432714351,0.633380143488255
"134","PSMA7",-0.490099607626211,0.720710073981392,0.851550232277037
"135","RACK1",0.791984288514572,0.333570936886138,0.621130360013015
"136","GDA",-1.20406477370604,0.133547308931017,0.402883423948615
"137","BGN",1.01691894341133,0.0297104778554344,0.194845459424012
"138","SAR1B",-1.32067388845424,0.258082087133926,0.530160305661975
"139","CRP",-0.0356536255370727,0.968567387382747,0.982503608783937
"140","EIF4A2",-0.676373465883763,0.251626152920031,0.528085904852534
